!__postfix	scalar
!~~	scalar
!~~*	scalar
%	scalar
icu_collate_az	scalar
icu_collate_be	scalar
icu_collate_bg	scalar
icu_collate_bn	scalar
icu_collate_bo	scalar
icu_collate_br	scalar
icu_collate_bs	scalar
icu_collate_ca	scalar
icu_collate_ceb	scalar
icu_collate_chr	scalar
icu_collate_cs	scalar
icu_collate_cy	scalar
icu_collate_da	scalar
icu_collate_de	scalar
icu_collate_de_at	scalar
icu_collate_dsb	scalar
icu_collate_dz	scalar
icu_collate_ee	scalar
icu_collate_el	scalar
icu_collate_en	scalar
icu_collate_en_us	scalar
icu_collate_eo	scalar
icu_collate_es	scalar
icu_collate_et	scalar
icu_collate_fa	scalar
icu_collate_fa_af	scalar
icu_collate_ff	scalar
icu_collate_fi	scalar
icu_collate_fil	scalar
icu_collate_fo	scalar
icu_collate_fr	scalar
icu_collate_fr_ca	scalar
icu_collate_fy	scalar
icu_collate_ga	scalar
icu_collate_gl	scalar
icu_collate_gu	scalar
icu_collate_ha	scalar
icu_collate_haw	scalar
icu_collate_he	scalar
icu_collate_he_il	scalar
icu_collate_hi	scalar
icu_collate_hr	scalar
icu_collate_hsb	scalar
icu_collate_hu	scalar
icu_collate_hy	scalar
icu_collate_id	scalar
icu_collate_id_id	scalar
icu_collate_ig	scalar
icu_collate_is	scalar
icu_collate_it	scalar
icu_collate_ja	scalar
icu_collate_ka	scalar
icu_collate_kk	scalar
icu_collate_kl	scalar
icu_collate_km	scalar
icu_collate_kn	scalar
icu_collate_ko	scalar
icu_collate_kok	scalar
icu_collate_ku	scalar
icu_collate_ky	scalar
icu_collate_lb	scalar
icu_collate_lkt	scalar
icu_collate_ln	scalar
icu_collate_lo	scalar
icu_collate_lt	scalar
icu_collate_lv	scalar
icu_collate_mk	scalar
icu_collate_ml	scalar
icu_collate_mn	scalar
icu_collate_mr	scalar
icu_collate_ms	scalar
icu_collate_mt	scalar
icu_collate_my	scalar
icu_collate_nb	scalar
icu_collate_nb_no	scalar
icu_collate_ne	scalar
icu_collate_nl	scalar
icu_collate_nn	scalar
icu_collate_noaccent	scalar
icu_collate_om	scalar
icu_collate_or	scalar
icu_collate_pa	scalar
icu_collate_pa_in	scalar
icu_collate_pl	scalar
icu_collate_ps	scalar
icu_collate_pt	scalar
icu_collate_ro	scalar
icu_collate_ru	scalar
icu_collate_sa	scalar
icu_collate_se	scalar
icu_collate_si	scalar
icu_collate_sk	scalar
icu_collate_sl	scalar
icu_collate_smn	scalar
icu_collate_sq	scalar
icu_collate_sr	scalar
icu_collate_sr_ba	scalar
icu_collate_sr_me	scalar
icu_collate_sr_rs	scalar
icu_collate_sv	scalar
icu_collate_sw	scalar
icu_collate_ta	scalar
icu_collate_te	scalar
icu_collate_th	scalar
icu_collate_tk	scalar
icu_collate_to	scalar
icu_collate_tr	scalar
icu_collate_ug	scalar
icu_collate_uk	scalar
icu_collate_ur	scalar
icu_collate_uz	scalar
icu_collate_vi	scalar
icu_collate_wae	scalar
icu_collate_wo	scalar
icu_collate_xh	scalar
icu_collate_yi	scalar
icu_collate_yo	scalar
icu_collate_yue	scalar
icu_collate_yue_cn	scalar
icu_collate_zh	scalar
icu_collate_zh_cn	scalar
icu_collate_zh_hk	scalar
icu_collate_zh_mo	scalar
icu_collate_zh_sg	scalar
icu_collate_zh_tw	scalar
icu_collate_zu	scalar
icu_sort_key	scalar
ilike_escape	scalar
import_database	pragma
in_search_path	scalar
inet_client_addr	macro
inet_client_port	macro
inet_server_addr	macro
inet_server_port	macro
instr	scalar
is_histogram_other_bin	scalar
isfinite	scalar
isinf	scalar
isnan	scalar
isodow	scalar
isoyear	scalar
jaccard	scalar
jaro_similarity	scalar
jaro_winkler_similarity	scalar
json	macro
json_array	scalar
json_array_length	scalar
json_contains	scalar
json_deserialize_sql	scalar
json_execute_serialized_sql	pragma
json_exists	scalar
json_extract	scalar
json_extract_path	scalar
json_extract_path_text	scalar
json_extract_string	scalar
json_group_array	macro
json_group_object	macro
json_group_structure	macro
json_keys	scalar
json_merge_patch	scalar
json_object	scalar
json_pretty	scalar
json_quote	scalar
json_serialize_plan	scalar
json_serialize_sql	scalar
json_structure	scalar
json_transform	scalar
json_transform_strict	scalar
json_type	scalar
json_valid	scalar
json_value	scalar
julian	scalar
kahan_sum	aggregate
kurtosis	aggregate
kurtosis_pop	aggregate
last	aggregate
last_day	scalar
lcase	scalar
lcm	scalar
least	scalar
least_common_multiple	scalar
left	scalar
left_grapheme	scalar
len	scalar
length	scalar
length_grapheme	scalar
levenshtein	scalar
lgamma	scalar
like_escape	scalar
list	aggregate
list_aggr	scalar
list_aggregate	scalar
list_any_value	macro
list_append	macro
list_apply	scalar
list_approx_count_distinct	macro
list_avg	macro
list_bit_and	macro
list_bit_or	macro
list_bit_xor	macro
list_bool_and	macro
list_bool_or	macro
list_cat	scalar
list_concat	scalar
list_contains	scalar
list_cosine_distance	scalar
list_cosine_similarity	scalar
list_count	macro
list_distance	scalar
list_distinct	scalar
list_dot_product	scalar
list_element	scalar
list_entropy	macro
list_extract	scalar
list_filter	scalar
list_first	macro
list_grade_up	scalar
list_has	scalar
list_has_all	scalar
list_has_any	scalar
list_histogram	macro
list_indexof	scalar
list_inner_product	scalar
list_intersect	macro
list_kurtosis	macro
list_kurtosis_pop	macro
list_last	macro
list_mad	macro
list_max	macro
list_median	macro
list_min	macro
list_mode	macro
list_negative_dot_product	scalar
list_negative_inner_product	scalar
list_pack	scalar
list_position	scalar
list_prepend	macro
list_product	macro
list_reduce	scalar
list_resize	scalar
list_reverse	macro
list_reverse_sort	scalar
list_select	scalar
list_sem	macro
list_skewness	macro
list_slice	scalar
list_sort	scalar
list_stddev_pop	macro
list_stddev_samp	macro
list_string_agg	macro
list_sum	macro
list_transform	scalar
list_unique	scalar
list_value	scalar
list_var_pop	macro
list_var_samp	macro
list_where	scalar
list_zip	scalar
listagg	aggregate
ln	scalar
log	scalar
log10	scalar
log2	scalar
lower	scalar
lpad	scalar
ltrim	scalar
mad	aggregate
make_date	scalar
make_time	scalar
make_timestamp	scalar
make_timestamp_ns	scalar
make_timestamptz	scalar
map	scalar
map_concat	scalar
map_contains	scalar
map_contains_entry	macro
map_contains_value	macro
map_entries	scalar
map_extract	scalar
map_extract_value	scalar
map_from_entries	scalar
map_keys	scalar
map_to_pg_oid	macro
map_values	scalar
max	aggregate
max_by	aggregate
md5	scalar
md5_number	scalar
md5_number_lower	macro
md5_number_upper	macro
mean	aggregate
median	aggregate
metadata_info	pragma
microsecond	scalar
millennium	scalar
millisecond	scalar
min	aggregate
min_by	aggregate
minute	scalar
mismatches	scalar
mod	scalar
mode	aggregate
month	scalar
monthname	scalar
multiply	scalar
nanosecond	scalar
nextafter	scalar
nextval	scalar
nfc_normalize	scalar
normalized_interval	scalar
not_ilike_escape	scalar
not_like_escape	scalar
now	scalar
nullif	macro
obj_description	macro
octet_length	scalar
ord	scalar
parquet_bloom_probe	table
parquet_file_metadata	table
parquet_kv_metadata	table
parquet_metadata	table
parquet_scan	table
parquet_schema	table
parse_dirname	scalar
parse_dirpath	scalar
parse_filename	scalar
parse_path	scalar
pg_collation_is_visible	macro
pg_conf_load_time	macro
pg_conversion_is_visible	macro
pg_function_is_visible	macro
pg_get_constraintdef	macro
pg_get_expr	macro
pg_get_viewdef	macro
pg_has_role	macro
pg_is_other_temp_schema	macro
pg_my_temp_schema	macro
pg_opclass_is_visible	macro
pg_operator_is_visible	macro
pg_opfamily_is_visible	macro
pg_postmaster_start_time	macro
pg_size_pretty	macro
pg_table_is_visible	macro
pg_timezone_names	table
pg_ts_config_is_visible	macro
pg_ts_dict_is_visible	macro
pg_ts_parser_is_visible	macro
pg_ts_template_is_visible	macro
pg_type_is_visible	macro
pg_typeof	macro
pi	scalar
platform	pragma
position	scalar
pow	scalar
power	scalar
pragma_collations	table
pragma_database_size	table
pragma_metadata_info	table
pragma_platform	table
pragma_show	table
pragma_storage_info	table
pragma_table_info	table
pragma_user_agent	table
pragma_version	table
prefix	scalar
printf	scalar
product	aggregate
quantile	aggregate
